X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
-5.75949877088219,-5.800791837778732,-5.842084904675273,-5.883377971571815,-5.924671038468357,-5.9659641053648995,-6.007257172261442,-6.048550239157983,-6.089843306054525,-6.131136372951067
-8.178775890900676,-8.217685740969529,-8.25659559103838,-8.295505441107233,-8.334415291176086,-8.373325141244939,-8.412234991313792,-8.451144841382643,-8.490054691451496,-8.528964541520349
-8.675639847714844,-8.716097928193067,-8.756556008671291,-8.797014089149513,-8.837472169627738,-8.87793025010596,-8.918388330584184,-8.958846411062407,-8.99930449154063,-9.039762572018853
-8.908554489026827,-8.949326643423824,-8.990098797820819,-9.030870952217816,-9.071643106614813,-9.11241526101181,-9.153187415408805,-9.193959569805802,-9.234731724202799,-9.275503878599796
-9.170343801076477,-9.214743797053849,-9.259143793031223,-9.303543789008597,-9.347943784985969,-9.392343780963342,-9.436743776940716,-9.481143772918088,-9.525543768895462,-9.569943764872836
-9.302451373257759,-9.347957580470206,-9.393463787682656,-9.438969994895103,-9.484476202107551,-9.529982409319999,-9.575488616532448,-9.620994823744896,-9.666501030957344,-9.712007238169791
-9.345784680224481,-9.389810761995879,-9.433836843767276,-9.477862925538673,-9.52188900731007,-9.565915089081468,-9.609941170852865,-9.653967252624263,-9.69799333439566,-9.742019416167057
-9.491443187103389,-9.538234679559501,-9.585026172015613,-9.631817664471725,-9.67860915692784,-9.725400649383952,-9.772192141840064,-9.818983634296176,-9.865775126752288,-9.9125666192084
-9.464724978427517,-9.50947597134866,-9.554226964269802,-9.598977957190943,-9.643728950112084,-9.688479943033228,-9.733230935954369,-9.77798192887551,-9.822732921796652,-9.867483914717795
-9.483844914096126,-9.526172627911729,-9.568500341727331,-9.610828055542934,-9.653155769358536,-9.695483483174138,-9.73781119698974,-9.780138910805343,-9.822466624620946,-9.864794338436548
-9.47008927344739,-9.510999520766942,-9.551909768086496,-9.59282001540605,-9.633730262725601,-9.674640510045155,-9.715550757364706,-9.75646100468426,-9.797371252003813,-9.838281499323365
-9.393148565865758,-9.431585190904414,-9.470021815943069,-9.508458440981725,-9.54689506602038,-9.585331691059036,-9.62376831609769,-9.662204941136345,-9.700641566175001,-9.739078191213656
-9.1940859409019,-9.227514282507572,-9.260942624113246,-9.294370965718919,-9.327799307324591,-9.361227648930264,-9.394655990535936,-9.42808433214161,-9.461512673747283,-9.494941015352955
-9.059366891253257,-9.090927100393134,-9.122487309533014,-9.154047518672893,-9.185607727812771,-9.21716793695265,-9.248728146092528,-9.280288355232408,-9.311848564372287,-9.343408773512165
-8.816698895101121,-8.848552632122537,-8.880406369143952,-8.912260106165368,-8.944113843186782,-8.975967580208199,-9.007821317229613,-9.03967505425103,-9.071528791272444,-9.10338252829386
-8.551358102059528,-8.582917230861172,-8.614476359662815,-8.64603548846446,-8.677594617266102,-8.709153746067747,-8.74071287486939,-8.772272003671034,-8.803831132472677,-8.83539026127432
-8.302809232391912,-8.335589891427192,-8.368370550462474,-8.401151209497757,-8.433931868533037,-8.466712527568319,-8.4994931866036,-8.532273845638882,-8.565054504674164,-8.597835163709444
-8.093006602783829,-8.127621248227658,-8.162235893671486,-8.196850539115315,-8.231465184559143,-8.26607983000297,-8.3006944754468,-8.335309120890628,-8.369923766334457,-8.404538411778285
-7.748437236906824,-7.779899091492193,-7.811360946077563,-7.8428228006629315,-7.874284655248301,-7.905746509833671,-7.93720836441904,-7.96867021900441,-8.000132073589779,-8.031593928175148
-7.656584218790042,-7.687470789455851,-7.7183573601216615,-7.749243930787471,-7.780130501453281,-7.811017072119091,-7.841903642784901,-7.8727902134507115,-7.903676784116521,-7.934563354782331
-7.559191838876375,-7.587341505316455,-7.615491171756535,-7.643640838196615,-7.671790504636695,-7.699940171076775,-7.728089837516855,-7.756239503956935,-7.784389170397015,-7.812538836837095
-7.518404167596687,-7.545373826867788,-7.57234348613889,-7.599313145409991,-7.626282804681093,-7.653252463952194,-7.680222123223296,-7.707191782494397,-7.734161441765499,-7.7611311010366
-7.486929735256039,-7.512587547307119,-7.538245359358197,-7.563903171409277,-7.589560983460356,-7.615218795511436,-7.640876607562515,-7.666534419613594,-7.692192231664674,-7.717850043715753
-7.4403169434317284,-7.462592463377181,-7.4848679833226335,-7.507143503268087,-7.529419023213539,-7.551694543158992,-7.573970063104444,-7.596245583049897,-7.6185211029953495,-7.640796622940802
-7.450793356286411,-7.47301327332767,-7.495233190368928,-7.517453107410187,-7.539673024451446,-7.561892941492704,-7.584112858533962,-7.606332775575221,-7.62855269261648,-7.650772609657738
-7.424071267259639,-7.445176074720558,-7.466280882181476,-7.487385689642394,-7.5084904971033115,-7.52959530456423,-7.550700112025148,-7.571804919486066,-7.592909726946984,-7.614014534407903
-7.361123428508972,-7.3796421882030065,-7.398160947897042,-7.416679707591076,-7.435198467285111,-7.453717226979145,-7.47223598667318,-7.490754746367214,-7.509273506061249,-7.527792265755283
-7.353430460286306,-7.372072390781429,-7.39071432127655,-7.409356251771673,-7.427998182266795,-7.4466401127619175,-7.46528204325704,-7.4839239737521615,-7.502565904247284,-7.521207834742406
-7.340335130138858,-7.359215586909554,-7.378096043680248,-7.396976500450943,-7.415856957221639,-7.434737413992334,-7.453617870763028,-7.472498327533724,-7.491378784304419,-7.510259241075114
-7.304302033879085,-7.32342312417388,-7.342544214468676,-7.361665304763472,-7.380786395058267,-7.399907485353062,-7.419028575647858,-7.438149665942653,-7.457270756237449,-7.476391846532245
-7.242921308052401,-7.261007323994319,-7.279093339936236,-7.297179355878154,-7.315265371820072,-7.333351387761989,-7.3514374037039065,-7.369523419645824,-7.387609435587741,-7.40569545152966
-7.195508614564259,-7.21318081533219,-7.23085301610012,-7.2485252168680505,-7.266197417635981,-7.2838696184039105,-7.301541819171841,-7.319214019939771,-7.336886220707702,-7.354558421475632
-7.134808998275179,-7.1513192438229325,-7.1678294893706855,-7.1843397349184395,-7.200849980466193,-7.217360226013947,-7.233870471561701,-7.250380717109454,-7.266890962657208,-7.283401208204962
-7.087789303127242,-7.105277768832679,-7.122766234538116,-7.140254700243553,-7.15774316594899,-7.175231631654427,-7.192720097359864,-7.210208563065301,-7.227697028770738,-7.245185494476175
-7.016654349802582,-7.034223330717326,-7.051792311632071,-7.069361292546815,-7.08693027346156,-7.104499254376304,-7.1220682352910485,-7.139637216205792,-7.157206197120537,-7.174775178035281
-6.929986176657071,-6.946784419365246,-6.963582662073421,-6.980380904781596,-6.997179147489771,-7.013977390197946,-7.030775632906121,-7.047573875614296,-7.064372118322471,-7.081170361030646
-6.834038564202811,-6.849877649315788,-6.865716734428764,-6.88155581954174,-6.897394904654717,-6.913233989767693,-6.929073074880669,-6.944912159993645,-6.960751245106621,-6.976590330219598
-6.7852814040924425,-6.802125080020581,-6.8189687559487195,-6.835812431876858,-6.852656107804996,-6.869499783733134,-6.886343459661272,-6.903187135589411,-6.920030811517549,-6.936874487445687
-6.6844699814223,-6.7005438935469215,-6.716617805671543,-6.732691717796165,-6.748765629920787,-6.764839542045409,-6.78091345417003,-6.796987366294652,-6.813061278419274,-6.829135190543895
-6.609497543190575,-6.625589603234339,-6.641681663278103,-6.657773723321866,-6.67386578336563,-6.689957843409394,-6.706049903453158,-6.722141963496921,-6.738234023540685,-6.7543260835844485
-6.530614654859835,-6.547701207364981,-6.5647877598701285,-6.581874312375276,-6.598960864880422,-6.61604741738557,-6.633133969890717,-6.650220522395864,-6.667307074901011,-6.684393627406158
-6.422880343216064,-6.438783764436046,-6.454687185656027,-6.470590606876009,-6.486494028095991,-6.502397449315972,-6.518300870535954,-6.534204291755936,-6.550107712975917,-6.566011134195899
-6.335681561877174,-6.351828747082086,-6.367975932286997,-6.384123117491909,-6.400270302696821,-6.416417487901733,-6.432564673106645,-6.448711858311556,-6.464859043516468,-6.48100622872138
-6.247203488158221,-6.2640926309772995,-6.280981773796378,-6.297870916615456,-6.314760059434534,-6.331649202253613,-6.34853834507269,-6.365427487891768,-6.3823166307108465,-6.399205773529925
-6.14878596589529,-6.165158200314469,-6.181530434733647,-6.197902669152826,-6.2142749035720035,-6.230647137991182,-6.24701937241036,-6.263391606829539,-6.279763841248717,-6.296136075667896
-6.061073980807362,-6.077474279439953,-6.093874578072545,-6.1102748767051365,-6.126675175337728,-6.1430754739703195,-6.159475772602911,-6.175876071235502,-6.192276369868093,-6.208676668500685
-5.961952613768383,-5.977696689947295,-5.9934407661262075,-6.009184842305119,-6.024928918484032,-6.040672994662944,-6.0564170708418565,-6.072161147020769,-6.087905223199681,-6.103649299378594
-5.876577923868327,-5.892353660282421,-5.9081293966965145,-5.923905133110609,-5.939680869524704,-5.955456605938798,-5.9712323423528915,-5.987008078766986,-6.002783815181081,-6.018559551595175
-5.7933790108666265,-5.80960423824886,-5.8258294656310925,-5.842054693013326,-5.858279920395559,-5.874505147777793,-5.890730375160025,-5.906955602542259,-5.923180829924492,-5.9394060573067256
-5.704587240582748,-5.7203607909844365,-5.7361343413861245,-5.7519078917878135,-5.7676814421895015,-5.7834549925911904,-5.7992285429928785,-5.815002093394567,-5.8307756437962555,-5.846549194197944
