X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018
-7.667301383110123,-7.705192507890893,-7.740804182627785,-7.7787146357438335,-7.816301179992498,-7.854773382670164,-7.893377319493076,-7.932394823385253,-7.9716025933626815,-8.01104917356231
-7.612902419711454,-7.642284003131898,-7.670991312925823,-7.701160817021283,-7.731405703185918,-7.762379844951591,-7.793617695361383,-7.825274400551698,-7.857194494219465,-7.889396368619754
-7.490903240490267,-7.517138969782803,-7.5423489021954255,-7.566704118218815,-7.590411211028867,-7.613807466876119,-7.636933796259149,-7.65995714649311,-7.682911464355308,-7.705867546840592
-7.505826453863811,-7.52795262290434,-7.549914003117634,-7.570757658605326,-7.591238903025294,-7.611436332722422,-7.631505798349928,-7.651550418092875,-7.671624664376888,-7.691779672903966
-7.4827094585217,-7.5022896334452325,-7.521953353760282,-7.540280178239227,-7.55830298736672,-7.575991295196344,-7.593573161057336,-7.611128211866569,-7.628730494333732,-7.646426479937599
-7.437883776903768,-7.452454202435677,-7.467598316055528,-7.481552011498254,-7.495452673558394,-7.509140499418714,-7.5228576887097525,-7.536634430980353,-7.550538555186369,-7.564595293092725
-7.446952392301194,-7.457633476832802,-7.4698366490114205,-7.481375893290268,-7.493355705077273,-7.505455135257923,-7.517858578349473,-7.530522571580387,-7.543473798597456,-7.556699536981219
-7.4404435993863665,-7.449947015929659,-7.460870924995635,-7.470954990457943,-7.481439540399073,-7.491992460377562,-7.5028443361776,-7.51395507646977,-7.525368146296459,-7.5370743219304766
-7.430323151992671,-7.437892605463148,-7.447311460508746,-7.456669796641054,-7.466788494958532,-7.477339975484721,-7.488412562557357,-7.499928216185736,-7.511871050413589,-7.524202426283282
-7.3607699863971074,-7.366243768808486,-7.373645551864639,-7.380671418566324,-7.388422421679981,-7.396486871532461,-7.40503638176463,-7.4139811084115586,-7.423332732819125,-7.433054567009827
-7.315709178708877,-7.319162362790033,-7.324922771970998,-7.330559533562547,-7.337121025243424,-7.344130394809037,-7.35172793745946,-7.359791137636421,-7.368313025198623,-7.377240329411783
-7.243611603735978,-7.244994348670804,-7.249417165106271,-7.253544657829237,-7.258783658951057,-7.264445921658753,-7.2707424613280764,-7.277496994084571,-7.284714113818145,-7.292325568927748
-7.195762264476274,-7.1980875314272135,-7.203357143800863,-7.20861302796574,-7.215007172522898,-7.221922093325748,-7.229498299356612,-7.237567153543407,-7.246110712080677,-7.2550581734349615
-7.122984660848893,-7.124482071504037,-7.129465080667897,-7.134763470120682,-7.141453327629592,-7.148838833561495,-7.157009453793266,-7.165758876508191,-7.1750407466638855,-7.184764654951933
-7.036242274173392,-7.035600409918141,-7.038882934654156,-7.042662330298163,-7.048028796152974,-7.05419492227026,-7.061236247624212,-7.0689093832521595,-7.077154677100344,-7.085865225134464
-6.930029047091012,-6.93246278369455,-6.937826494902622,-6.943500719660674,-6.950328647491049,-6.9577326461953275,-6.965773070059228,-6.9742756593252535,-6.983198159928084,-6.992464142714431
-6.874414128094613,-6.876776309034608,-6.882765739175679,-6.889247470613367,-6.897141637726415,-6.905741342681643,-6.91508978262214,-6.924968659743095,-6.935316465704527,-6.9460377702445495
-6.771081417293729,-6.77288542071331,-6.778335353429193,-6.784533086529569,-6.792196166883687,-6.800642271918601,-6.80985936465907,-6.819622675830604,-6.82985207456335,-6.8404458057915845
-6.69743208932086,-6.700017078412115,-6.706154061493825,-6.713193231214668,-6.721692023237342,-6.731017999505642,-6.741116624647951,-6.751770787988874,-6.762887734524092,-6.774365777580901
-6.600240980926182,-6.605125668971264,-6.613305531813855,-6.622209612573852,-6.632407376298027,-6.643313424555817,-6.654888068639081,-6.666938242131061,-6.6793829847949615,-6.692133603913615
-6.5038515096702945,-6.5069885439167106,-6.51385049126976,-6.521772044041462,-6.531223009147225,-6.541559186911217,-6.552690568959723,-6.564390478020655,-6.5765512908103085,-6.589065683363932
-6.391427685342183,-6.395782626617816,-6.403924389888178,-6.4128234299150515,-6.423157468155462,-6.43422967558145,-6.446006995924989,-6.458263687670965,-6.470912732748379,-6.4838543092868575
-6.298614194599726,-6.303534218943742,-6.312302626296421,-6.3220278373524685,-6.333253912061203,-6.345307690503695,-6.358110582702988,-6.371435630979349,-6.385178322796003,-6.399234419048931
-6.18121992434086,-6.1866853195396665,-6.195842896254643,-6.205680436337185,-6.216866830979319,-6.228720774802559,-6.241212062041494,-6.254124226338583,-6.267374712287194,-6.2808697617986375
-6.077257828553081,-6.082717314298098,-6.092182899661921,-6.102240699338396,-6.113702695825936,-6.125800664203106,-6.138530796550322,-6.151656376568619,-6.165099302513846,-6.178761273558713
-5.966654956288617,-5.970905701743379,-5.979560934535634,-5.988675076807587,-5.999281778938247,-6.010490894794588,-6.022345375199915,-6.0345791370147515,-6.047123458216716,-6.059872806898496
-5.875786560753339,-5.88100012023904,-5.890376199342265,-5.900009380838295,-5.910994053004195,-5.922470896103964,-5.93451284459689,-5.946872828632573,-5.959497929096634,-5.9722936314523585
-5.776009796444888,-5.784612966439858,-5.796611400027614,-5.808414828513192,-5.821161165098219,-5.834118407258679,-5.847411270490005,-5.860852619337329,-5.8744247989010105,-5.888064660471377
-5.671520577467995,-5.680878504129602,-5.6932868088177875,-5.705012296793392,-5.717429764507392,-5.72981440468574,-5.742380054448024,-5.754964749475507,-5.767589952192161,-5.78021169112024
-5.584154027417967,-5.5936655116773775,-5.606488941114801,-5.618454398360746,-5.631137165764971,-5.643726400419634,-5.656480825294885,-5.669222666767873,-5.681984944133383,-5.69472199902798
-5.4954580352457105,-5.507579908800712,-5.522324970303409,-5.5356718235883475,-5.549344039131585,-5.562622261754685,-5.575843892313773,-5.588884471403323,-5.601819655133705,-5.614634192598486
-5.441920036089892,-5.456079540562115,-5.472416738724563,-5.4873393556980625,-5.502427802378879,-5.517076663045134,-5.531602192607014,-5.54591460696409,-5.5600910834663155,-5.574128953647232
-5.361622460947133,-5.376074532544996,-5.3924364168688586,-5.407101019510904,-5.421764408069613,-5.435836967300776,-5.449685971518302,-5.463238592484203,-5.476596054522655,-5.489767717440606
-5.306026043367415,-5.323645213054306,-5.342577809186377,-5.359582921635648,-5.376313598694424,-5.3923059081080265,-5.407940735448215,-5.4231948309451194,-5.438186402257548,-5.4529470287924555
-5.239615561096911,-5.256807461741271,-5.275045498509681,-5.291608284699256,-5.307880573665542,-5.323489646243806,-5.3387561786625515,-5.353668990278775,-5.368330369767019,-5.382771218063626
-5.180754865937372,-5.197148565154121,-5.214833744020916,-5.230874309167408,-5.246719073855876,-5.261937266628794,-5.276856700816695,-5.291447266903363,-5.3058088835317045,-5.319964959218983
-5.116537217916386,-5.134169738379323,-5.15273208256759,-5.169710145651367,-5.18637895797618,-5.202405944236486,-5.218087266789774,-5.233418247212539,-5.248495265183906,-5.263349805398454
-5.072373660030695,-5.091855647603732,-5.11176974533472,-5.130021572514045,-5.147783349839814,-5.164838969663351,-5.181477432271862,-5.197732237439038,-5.2137066668849466,-5.2294468433684616
-5.007231551488508,-5.0250330721482674,-5.043556362562316,-5.06076875720467,-5.077692966371581,-5.094086456152274,-5.110182145606615,-5.125987391031822,-5.141579457589112,-5.156987881190837
-4.9427972263803195,-4.960985118219153,-4.979706570159308,-4.997207359348736,-5.014387142691881,-5.031062776550107,-5.047440626199262,-5.063540670758938,-5.079434193975856,-5.095153145451694
-4.90239196240145,-4.92134897895148,-4.940869854021069,-4.959396340527582,-4.977671695277604,-4.995548540018387,-5.013182455422864,-5.030594052945065,-5.047835658124771,-5.064934529442297
-4.827553071657411,-4.845859451223669,-4.86506242985711,-4.883551189104347,-4.901965343449199,-4.920118770714849,-4.938120038066687,-4.955965071444611,-4.973683297492127,-4.991287843842201
-4.768917599621392,-4.787139003259084,-4.806347706506246,-4.824913404385177,-4.843464354160585,-4.861806516841822,-4.880038392669116,-4.898150564734435,-4.9161664009109405,-4.934095143344765
-4.70757467044308,-4.724075942210192,-4.742127424453025,-4.75981779918383,-4.777767897096738,-4.795687570987787,-4.81364371085855,-4.831585189466111,-4.849512338997003,-4.8674134440076395
-4.644580623203883,-4.660987779870484,-4.679208799831022,-4.69736873369249,-4.715944407760592,-4.734629936021918,-4.753436026831808,-4.7722929475561005,-4.791176321192915,-4.810062029236627
-4.57749339196285,-4.593152117077127,-4.61086690216313,-4.628649416236494,-4.646968098177753,-4.665476081212581,-4.684169368558021,-4.702959800649059,-4.721812761359051,-4.740694777807529
-4.509339317091418,-4.524592996995348,-4.5422380609072075,-4.560150615722696,-4.578763220564959,-4.597682193291329,-4.616873795212345,-4.636227436391464,-4.655691094703566,-4.675219145851556
-4.41076529907617,-4.4264135481744145,-4.4444668009471116,-4.462544356462305,-4.481256484208376,-4.5001729464303555,-4.519310390771698,-4.5385600106695225,-4.557887629651321,-4.577253271213029
-4.3311138475456366,-4.346533818709928,-4.364627442122601,-4.382817557524207,-4.401739382144068,-4.420909524510728,-4.440338449366223,-4.459898673768182,-4.479549111225579,-4.499242032458121
-4.244630663995568,-4.261649866306047,-4.281169898363549,-4.300585733108881,-4.320608875549374,-4.340777256051749,-4.361130040276405,-4.381557018612602,-4.402031207434396,-4.422515235170264
-4.138458767998657,-4.156047513039942,-4.176150596214588,-4.19585660613996,-4.216085452459505,-4.236331995458426,-4.256694773261273,-4.277066102720834,-4.297440304603727,-4.317787120186675
-4.041413336843535,-4.058102827457471,-4.077591962147836,-4.096636937094347,-4.116296094081579,-4.135987311029028,-4.15583436230002,-4.175709548934392,-4.195610034957781,-4.21549908637748
-3.953781623820446,-3.97222671302706,-3.9931661234162985,-4.013490113625921,-4.034268538793446,-4.05497560911675,-4.075752318808252,-4.096496639094103,-4.117218399665254,-4.137893632570222
-3.8438230875464696,-3.8616674565460207,-3.882101374170362,-3.9018013366166757,-3.921958369283469,-3.942001478610006,-3.9621037249059365,-3.9821550940653045,-4.002174991726577,-4.022139055752804
-3.7460332911144394,-3.7646116368921128,-3.7856080069840035,-3.8057027778351347,-3.826149754563249,-3.8463963613175878,-3.8666425839312915,-3.8867920265821683,-3.9068772659300373,-3.9268822016288323
-3.629744871181309,-3.6478522485273666,-3.668472415392452,-3.688080980337297,-3.7080430575746255,-3.72776346131482,-3.7474710679069076,-3.767062099375346,-3.7865776923761993,-3.8060014993122904
-3.524348834975463,-3.543513678814645,-3.564884156837975,-3.5851344921012442,-3.605604091980126,-3.625759105110074,-3.6458358922541,-3.6657540869544665,-3.6855636597631194,-3.7052588056366162
-3.409489636206589,-3.4278449653328993,-3.4483700741249153,-3.4677565047677645,-3.4873582571732658,-3.506640461546494,-3.5258473441200104,-3.5448980703293826,-3.5638456545639006,-3.582684273240062
-3.2931970938550177,-3.312025443212309,-3.3328310746613266,-3.3523555563990906,-3.3719894825086567,-3.391222431820996,-3.4103200086815106,-3.4292151978625105,-3.4479727106540334,-3.4665947032640316
-3.1585966609095246,-3.176376829211749,-3.196113364443346,-3.2146364366917837,-3.2332911608346637,-3.2515747086931763,-3.269742256272842,-3.287724784292833,-3.3055832172166637,-3.323317558443777
-3.0376395235876252,-3.0558597117685666,-3.075837686851179,-3.094555065685768,-3.1133229297138865,-3.1316799454726123,-3.149881478544681,-3.167872987611988,-3.1857194481314286,-3.203427099332518
-2.91745864647116,-2.934445782665287,-2.953208776135367,-2.970791153343776,-2.9884670526783195,-3.005773540331189,-3.0229565963095646,-3.039955951508518,-3.056832314210612,-3.0735880228457
-2.7917572583892802,-2.8081819715068077,-2.8263339401534187,-2.843338237689372,-2.860435509990355,-2.8771750777608323,-2.893796624951004,-2.9102413204722635,-2.926568271484931,-2.9427796200326357
-2.6699548799945725,-2.6854469348099834,-2.702657274370729,-2.7188225026854123,-2.735113455229732,-2.751089562637811,-2.766972632389105,-2.782700779360889,-2.798326640024656,-2.813849185158803
-2.5456256148204206,-2.559164292785082,-2.574592208833067,-2.589084818135918,-2.6038090792189075,-2.618288266139392,-2.6327367399955435,-2.647075356065841,-2.661349887326411,-2.675550657421836
-2.4204197717236173,-2.4330617213852315,-2.4475993088134373,-2.461281689534614,-2.4752257815603893,-2.488958306841061,-2.5026806796119936,-2.516309957955702,-2.529886971946158,-2.5433991204449784
-2.296491307683511,-2.3085549447805533,-2.3224706338825487,-2.335572916578223,-2.3489352327493247,-2.3620957217280907,-2.3752470227210387,-2.3883068771004767,-2.4013138279238952,-2.4142548647807356
-2.1738589983757897,-2.1840000621167115,-2.1961764273655837,-2.207688346709577,-2.219581662536679,-2.2313629324132824,-2.243208903100308,-2.255019830175128,-2.266823973220769,-2.278598734236635
-2.0481449304666586,-2.0573735259848345,-2.0686317206319296,-2.0792896077294998,-2.0903496112083815,-2.1013224258590895,-2.112374269049526,-2.123402727060631,-2.134432203412261,-2.1454379685932605
-1.9267707890907662,-1.9358042602415817,-1.9466428985242255,-1.9568707072865057,-1.9674220899581185,-1.9778539262852015,-1.988326626240583,-1.9987508052142722,-2.009153444125064,-2.019515000177627
-1.8098010407131127,-1.818467710497596,-1.828713630859121,-1.8384741898890473,-1.8485186401564686,-1.858470236716465,-1.8684551540593155,-1.8783962205096096,-1.8883127116344554,-1.8981871440420535
-1.6989287511244937,-1.7047712436354787,-1.7126696046375776,-1.720215900425001,-1.7282686509622753,-1.7363449444353114,-1.7445738606682835,-1.7528397976744965,-1.761152239478999,-1.7694767173636499
-1.5927429375744169,-1.598573421604334,-1.6062940054535606,-1.6137896190224559,-1.6217710316724203,-1.629813557418097,-1.6380114916611903,-1.6462600979384836,-1.6545595443086483,-1.6628767780356892
-1.4801580572305497,-1.4866792066208985,-1.4948680034044464,-1.5025984201499234,-1.510670926456704,-1.5186815961468987,-1.5267620387000185,-1.5348253883530472,-1.5428897362333913,-1.550933410308618
-1.368659327113272,-1.3716096347923066,-1.3767255749818146,-1.3816274339004257,-1.3871234949804425,-1.3927056738685124,-1.398487811117482,-1.4043383851158644,-1.4102586493814029,-1.4162060740158773
-1.2695300900169595,-1.2738131984432959,-1.2796951716809504,-1.285128768072567,-1.2909022759916875,-1.2966113858575894,-1.3023928718677944,-1.308157001312513,-1.313924435856406,-1.3196724270682674
-1.1832359895954432,-1.1837597206435932,-1.186345296447958,-1.1889563077182628,-1.1922023408276456,-1.1956114146134609,-1.1992532340660975,-1.2029915141457108,-1.2068139733345609,-1.2106720593605238
-1.0894136423883516,-1.0872430663663593,-1.0878400695263613,-1.088594504652246,-1.0902886038766266,-1.0923026491510932,-1.0947146680974278,-1.0973409218078145,-1.1001554524145514,-1.103089004584792
-1.0706608421706167,-1.0604035838172912,-1.056250882905131,-1.0543463623513216,-1.055111998604678,-1.057463754442426,-1.0611800060127323,-1.0658490145579835,-1.071265708378603,-1.077234489868526
-0.8302461831926161,-0.8256356321789288,-0.824557143608803,-0.8228052331719575,-0.8220269618245285,-0.8212710060236279,-0.8208392836517193,-0.820487834557641,-0.8202569198733699,-0.8200729538072856
