X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
-5.951870781267669,-5.998108924412344,-6.044347067557019,-6.090585210701694,-6.13682335384637,-6.183061496991045,-6.22929964013572,-6.275537783280395,-6.321775926425071,-6.368014069569746
-8.432093518099437,-8.478909387989377,-8.525725257879316,-8.572541127769254,-8.619356997659192,-8.666172867549133,-8.71298873743907,-8.75980460732901,-8.806620477218948,-8.853436347108888
-8.756091019146059,-8.794792628339499,-8.833494237532939,-8.87219584672638,-8.91089745591982,-8.94959906511326,-8.9883006743067,-9.02700228350014,-9.06570389269358,-9.10440550188702
-8.922482229716845,-8.95773119708911,-8.992980164461374,-9.028229131833639,-9.063478099205902,-9.098727066578167,-9.13397603395043,-9.169225001322696,-9.204473968694959,-9.239722936067224
-9.135662052519354,-9.171316177195282,-9.20697030187121,-9.242624426547138,-9.278278551223067,-9.313932675898995,-9.349586800574924,-9.385240925250852,-9.42089504992678,-9.456549174602708
-9.233298608416368,-9.268156966587007,-9.303015324757649,-9.337873682928288,-9.37273204109893,-9.407590399269571,-9.44244875744021,-9.477307115610852,-9.512165473781492,-9.547023831952133
-9.256553655140504,-9.2891212169113,-9.321688778682097,-9.354256340452894,-9.38682390222369,-9.419391463994486,-9.451959025765284,-9.48452658753608,-9.517094149306876,-9.549661711077674
-9.359680693574925,-9.392069120047386,-9.424457546519848,-9.45684597299231,-9.48923439946477,-9.521622825937232,-9.554011252409694,-9.586399678882156,-9.618788105354618,-9.65117653182708
-9.332402627980224,-9.362922017503704,-9.393441407027186,-9.423960796550666,-9.454480186074147,-9.484999575597627,-9.515518965121107,-9.546038354644587,-9.576557744168069,-9.607077133691549
-9.374385895288142,-9.404214587267685,-9.434043279247227,-9.46387197122677,-9.493700663206312,-9.523529355185854,-9.553358047165398,-9.58318673914494,-9.613015431124483,-9.642844123104025
-9.372817267237476,-9.401934441189315,-9.431051615141156,-9.460168789092995,-9.489285963044836,-9.518403136996675,-9.547520310948515,-9.576637484900354,-9.605754658852195,-9.634871832804034
-9.311842201722673,-9.339656139459668,-9.367470077196664,-9.39528401493366,-9.423097952670656,-9.450911890407651,-9.478725828144649,-9.506539765881644,-9.53435370361864,-9.562167641355636
-9.139742845072895,-9.164970363841206,-9.19019788260952,-9.21542540137783,-9.240652920146143,-9.265880438914454,-9.291107957682767,-9.316335476451078,-9.341562995219391,-9.366790513987702
-9.013346041070763,-9.03727640483624,-9.061206768601716,-9.08513713236719,-9.109067496132667,-9.132997859898143,-9.15692822366362,-9.180858587429096,-9.204788951194573,-9.228719314960049
-8.752311888139271,-8.775660074624408,-8.799008261109545,-8.822356447594682,-8.84570463407982,-8.869052820564956,-8.892401007050093,-8.91574919353523,-8.939097380020367,-8.962445566505505
-8.462044368824628,-8.48382162266444,-8.50559887650425,-8.52737613034406,-8.549153384183871,-8.57093063802368,-8.592707891863492,-8.614485145703302,-8.636262399543112,-8.658039653382923
-8.145989491422533,-8.164946041979341,-8.18390259253615,-8.202859143092956,-8.221815693649765,-8.240772244206573,-8.259728794763381,-8.27868534532019,-8.297641895876998,-8.316598446433805
